T_K,rho_mol_m3,P_Pa,Z_PR
304.128200,2000.000000,3.906133556909e6,0.772371457184
304.128200,2117.647059,4.073871132742e6,0.760786558636
304.128200,2235.294118,4.235724221742e6,0.749380045633
304.128200,2352.941176,4.391834171428e6,0.738148917052
304.128200,2470.588235,4.542339300429e6,0.727090258576
304.128200,2588.235294,4.687375010142e6,0.716201240032
304.128200,2705.882353,4.827073892359e6,0.705479112825
304.128200,2823.529412,4.961565833049e6,0.694921207479
304.128200,2941.176471,5.090978112459e6,0.684524931273
304.128200,3058.823529,5.215435501736e6,0.674287765971
304.128200,3176.470588,5.335060356194e6,0.664207265645
304.128200,3294.117647,5.449972705402e6,0.654281054571
304.128200,3411.764706,5.560290340244e6,0.644506825220
304.128200,3529.411765,5.666128897064e6,0.634882336322
304.128200,3647.058824,5.767601939056e6,0.625405411002
304.128200,3764.705882,5.864821035013e6,0.616073934989
304.128200,3882.352941,5.957895835549e6,0.606885854900
304.128200,4000.000000,6.046934146926e6,0.597839176581
304.128200,4117.647059,6.132042002578e6,0.588931963515
304.128200,4235.294118,6.213323732451e6,0.580162335292
304.128200,4352.941176,6.290882030242e6,0.571528466137
304.128200,4470.588235,6.364818018655e6,0.563028583493
304.128200,4588.235294,6.435231312746e6,0.554660966655
304.128200,4705.882353,6.502220081447e6,0.546423945464
304.128200,4823.529412,6.565881107368e6,0.538315899042
304.128200,4941.176471,6.626309844936e6,0.530335254580
304.128200,5058.823529,6.683600476961e6,0.522480486168
304.128200,5176.470588,6.737845969695e6,0.514750113678
304.128200,5294.117647,6.789138126469e6,0.507142701675
304.128200,5411.764706,6.837567639950e6,0.499656858387
304.128200,5529.411765,6.883224143106e6,0.492291234696
304.128200,5647.058824,6.926196258933e6,0.485044523186
304.128200,5764.705882,6.966571649005e6,0.477915457211
304.128200,5882.352941,7.004437060893e6,0.470902810010
304.128200,6000.000000,7.039878374537e6,0.464005393852
304.128200,6117.647059,7.072980647592e6,0.457222059216
304.128200,6235.294118,7.103828159817e6,0.450551693998
304.128200,6352.941176,7.132504456563e6,0.443993222757
304.128200,6470.588235,7.159092391387e6,0.437545605984
304.128200,6588.235294,7.183674167858e6,0.431207839406
304.128200,6705.882353,7.206331380587e6,0.424978953313
304.128200,6823.529412,7.227145055539e6,0.418858011913
304.128200,6941.176471,7.246195689650e6,0.412844112720
304.128200,7058.823529,7.263563289804e6,0.406936385955
304.128200,7176.470588,7.279327411204e6,0.401133993987
304.128200,7294.117647,7.293567195183e6,0.395436130784
304.128200,7411.764706,7.306361406476e6,0.389842021400
304.128200,7529.411765,7.317788470010e6,0.384350921471
304.128200,7647.058824,7.327926507227e6,0.378962116749
304.128200,7764.705882,7.336853371997e6,0.373674922644
304.128200,7882.352941,7.344646686134e6,0.368488683797
304.128200,8000.000000,7.351383874556e6,0.363402773663
304.128200,8117.647059,7.357142200133e6,0.358416594126
304.128200,8235.294118,7.361998798233e6,0.353529575125
304.128200,8352.941176,7.366030711011e6,0.348741174302
304.128200,8470.588235,7.369314921476e6,0.344050876668
304.128200,8588.235294,7.371928387348e6,0.339458194290
304.128200,8705.882353,7.373948074758e6,0.334962665989
304.128200,8823.529412,7.375450991796e6,0.330563857065
304.128200,8941.176471,7.376514221959e6,0.326261359031
304.128200,9058.823529,7.377214957511e6,0.322054789369
304.128200,9176.470588,7.377630532789e6,0.317943791301
304.128200,9294.117647,7.377838457488e6,0.313928033572
304.128200,9411.764706,7.377916449944e6,0.310007210259
304.128200,9529.411765,7.377942470450e6,0.306181040588
304.128200,9647.058824,7.377994754630e6,0.302449268767
304.128200,9764.705882,7.378151846896e6,0.298811663836
304.128200,9882.352941,7.378492634024e6,0.295268019535
304.128200,10000.000000,7.379096378866e6,0.291818154183
304.128200,10117.647059,7.380042754235e6,0.288461910573
304.128200,10235.294118,7.381411876984e6,0.285199155881
304.128200,10352.941176,7.383284342314e6,0.282029781596
304.128200,10470.588235,7.385741258329e6,0.278953703453
304.128200,10588.235294,7.388864280878e6,0.275970861390
304.128200,10705.882353,7.392735648707e6,0.273081219519
304.128200,10823.529412,7.397438218946e6,0.270284766105
304.128200,10941.176471,7.403055502969e6,0.267581513566
304.128200,11058.823529,7.409671702651e6,0.264971498483
304.128200,11176.470588,7.417371747051e6,0.262454781629
304.128200,11294.117647,7.426241329557e6,0.260031448005
304.128200,11411.764706,7.436366945519e6,0.257701606902
304.128200,11529.411765,7.447835930406e6,0.255465391964
304.128200,11647.058824,7.460736498514e6,0.253322961275
304.128200,11764.705882,7.475157782261e6,0.251274497460
304.128200,11882.352941,7.491189872105e6,0.249320207795
304.128200,12000.000000,7.508923857113e6,0.247460324338
304.128200,12117.647059,7.528451866222e6,0.245695104071
304.128200,12235.294118,7.549867110226e6,0.244024829060
304.128200,12352.941176,7.573263924520e6,0.242449806628
304.128200,12470.588235,7.598737812653e6,0.240970369547
304.128200,12588.235294,7.626385490713e6,0.239586876239
304.128200,12705.882353,7.656304932592e6,0.238299711001
304.128200,12823.529412,7.688595416173e6,0.237109284242
304.128200,12941.176471,7.723357570474e6,0.236016032735
304.128200,13058.823529,7.760693423804e6,0.235020419890
304.128200,13176.470588,7.800706452965e6,0.234122936037
304.128200,13294.117647,7.843501633547e6,0.233324098739
304.128200,13411.764706,7.889185491372e6,0.232624453106
304.128200,13529.411765,7.937866155128e6,0.232024572141
304.128200,13647.058824,7.989653410248e6,0.231525057099
304.128200,13764.705882,8.044658754081e6,0.231126537861
304.128200,13882.352941,8.102995452421e6,0.230829673335
304.128200,14000.000000,8.164778597430e6,0.230635151871
304.128200,14117.647059,8.230125167039e6,0.230543691698
304.128200,14235.294118,8.299154085865e6,0.230556041384
304.128200,14352.941176,8.371986287715e6,0.230672980310
304.128200,14470.588235,8.448744779750e6,0.230895319177
304.128200,14588.235294,8.529554708353e6,0.231223900522
